component,current_km,current_months,condition_metric_value,health_status
Gearbox,14956.17,8.82,59.05,2
CVT/AT Oil,41211.66,5.02,3.52,2
Gearbox,13353.87,0.71,65.83,2
Gearbox Filter,30315.65,21.35,96.41,2
Front Brake Pad,47941.39,11.32,4.24,2
Rear Brake Pad,58650.11,16.96,2.29,2
Front Brake Pad,55906.82,12.07,1.56,2
Gearbox Filter,10164.89,6.28,75.5,2
CVT/AT Oil,8518.32,18.79,54.04,0
Ignition Coil,110479.94,47.03,6.93,1
Spark Plug,100973.71,33.93,7.34,2
CVT/AT Oil,1866.94,39.92,12.76,2
CVT/AT Oil,41179.63,3.76,20.99,2
Spark Plug,78633.89,71.41,0.55,2
Rear Brake Pad,30634.21,46.78,1.94,2
Rear Brake Pad,19137.99,1.79,2.74,2
Front Brake Pad,51249.29,32.53,2.09,2
Spark Plug,94613.68,47.88,1.95,2
Spark Plug,104907.21,0.01,1.27,2
Ignition Coil,80470.0,49.72,10.37,2
Front Brake Pad,25677.04,35.16,1.0,2
Gearbox,270.0,3.79,2.45,0
Front Brake Pad,18902.52,30.9,2.63,2
CVT/AT Oil,49562.34,37.76,100.74,2
Gearbox Filter,86652.93,52.32,32.0,2
Rear Brake Pad,47940.83,34.29,4.05,0
Front Brake Pad,8116.69,2.46,2.37,2
Spark Plug,1488.48,33.75,2.26,0
CVT/AT Oil,4454.45,12.22,87.63,0
Spark Plug,5777.14,65.01,6.39,2
Spark Plug,39648.96,24.51,7.42,2
Rear Brake Pad,7107.22,12.93,7.15,0
Front Brake Pad,28969.83,9.64,7.1,0
Gearbox Filter,46930.11,4.58,87.29,2
CVT/AT Oil,29302.48,39.83,63.03,2
Spark Plug,80304.03,59.71,6.59,2
Spark Plug,3017.03,50.0,0.62,2
Front Brake Pad,29335.23,27.86,5.42,2
Ignition Coil,29668.44,18.42,11.38,2
Front Brake Pad,39939.56,25.29,2.14,2
Rear Brake Pad,11852.41,12.65,7.08,0
CVT/AT Oil,39133.46,51.33,72.08,2
Rear Brake Pad,88545.63,14.52,3.66,2
Front Brake Pad,17171.43,13.03,4.25,0
Ignition Coil,163328.43,25.8,5.64,2
Spark Plug,39761.64,34.71,1.47,0
CVT/AT Oil,26848.09,25.61,70.9,0
Gearbox Filter,495.52,0.55,23.0,0
CVT/AT Oil,50635.48,15.39,55.54,2
Gearbox Filter,51484.38,36.91,30.82,0
Front Brake Pad,18752.99,29.4,2.56,2
Spark Plug,13660.61,24.86,3.81,0
Spark Plug,3560.19,48.63,0.34,2
CVT/AT Oil,7889.35,14.84,47.35,0
Gearbox,10947.9,7.94,60.38,2
Gearbox Filter,54711.47,22.27,86.5,2
Rear Brake Pad,85862.98,38.96,7.77,2
Front Brake Pad,3451.64,9.27,0.54,2
Rear Brake Pad,78443.8,13.86,5.99,2
Spark Plug,54748.38,26.57,0.91,0
Gearbox,8243.75,8.1,36.38,2
CVT/AT Oil,21286.28,50.85,80.23,2
Spark Plug,77574.01,63.94,4.49,2
Front Brake Pad,42936.48,32.88,5.51,2
Gearbox,2577.73,5.74,66.69,2
Gearbox Filter,5979.95,38.45,14.92,0
Spark Plug,83385.88,38.34,3.37,2
Rear Brake Pad,51947.99,2.36,1.11,2
Spark Plug,25926.16,33.6,6.13,2
Front Brake Pad,57078.29,24.93,3.87,2
CVT/AT Oil,4656.88,29.3,103.41,0
Front Brake Pad,30133.32,28.74,7.4,2
Gearbox,8689.0,6.83,8.9,2
CVT/AT Oil,34931.92,20.04,72.13,0
Gearbox,5894.61,4.73,46.05,0
Gearbox,6457.94,1.28,80.11,2
Spark Plug,113597.33,24.46,3.88,2
Ignition Coil,114642.42,36.79,0.86,1
Front Brake Pad,40229.25,3.65,7.62,0
Ignition Coil,151510.21,62.66,6.72,2
Rear Brake Pad,61944.68,7.59,4.37,2
CVT/AT Oil,31914.76,7.33,11.92,2
Front Brake Pad,2089.52,13.97,1.44,2
Ignition Coil,56377.13,15.88,5.85,0
Ignition Coil,162014.97,12.54,11.47,2
Gearbox Filter,42660.58,31.98,104.46,2
Spark Plug,118081.58,20.77,7.21,2
Gearbox,464.06,8.74,69.62,2
Gearbox Filter,13873.05,39.87,56.88,0
Front Brake Pad,16666.25,30.19,3.21,2
Ignition Coil,46680.28,21.02,0.69,0
Front Brake Pad,45723.64,8.46,7.48,2
Gearbox,5209.16,5.22,12.53,0
CVT/AT Oil,9031.29,44.1,24.88,2
Gearbox Filter,89446.36,63.38,65.46,2
Spark Plug,95102.57,33.22,5.48,2
Gearbox,12788.37,6.4,81.62,2
Rear Brake Pad,86762.6,49.11,6.5,2
Gearbox Filter,41261.98,2.73,78.32,2
Rear Brake Pad,11233.87,42.89,2.48,2
Front Brake Pad,2326.14,34.91,8.54,2
Ignition Coil,176577.73,52.21,10.36,2
Rear Brake Pad,27220.27,26.54,4.7,0
Front Brake Pad,51421.38,13.92,4.6,2
Spark Plug,43472.17,52.25,6.71,2
CVT/AT Oil,24455.05,44.69,91.74,2
Gearbox,12098.84,4.29,89.65,2
Gearbox,47.52,5.76,26.86,1
CVT/AT Oil,18713.94,13.83,3.69,2
Rear Brake Pad,56393.33,50.02,0.17,2
Front Brake Pad,46421.24,26.02,6.23,2
Ignition Coil,113857.94,69.6,9.84,2
Spark Plug,33451.18,15.17,7.18,2
Rear Brake Pad,89149.14,10.84,8.95,2
Rear Brake Pad,208.58,2.38,3.08,0
Gearbox Filter,66642.85,10.29,79.11,2
Gearbox Filter,73973.4,58.26,92.86,2
CVT/AT Oil,36816.25,4.78,58.52,0
Front Brake Pad,18922.58,24.75,0.22,2
CVT/AT Oil,20929.23,5.99,96.99,0
Gearbox Filter,62798.06,0.44,10.6,2
Front Brake Pad,20220.68,2.77,4.51,0
Ignition Coil,43601.62,51.65,1.74,0
Ignition Coil,72517.19,31.89,2.79,0
Rear Brake Pad,36117.54,15.8,1.37,2
Rear Brake Pad,81549.99,17.36,4.29,2
Spark Plug,65877.65,15.79,0.25,0
CVT/AT Oil,21468.85,34.98,14.75,2
Spark Plug,86374.97,62.42,3.4,2
Gearbox,9371.76,0.65,61.44,2
Front Brake Pad,31264.16,8.45,2.73,2
Rear Brake Pad,49725.09,28.09,1.29,2
Rear Brake Pad,64858.96,21.68,1.43,2
Ignition Coil,24089.11,67.99,0.65,0
Gearbox,6036.7,0.92,17.01,0
Gearbox Filter,4216.67,19.88,74.23,2
Rear Brake Pad,52493.99,25.22,3.06,0
Gearbox,11113.56,2.85,9.17,2
Spark Plug,15591.59,40.68,6.5,2
Gearbox,11833.99,8.03,39.04,2
Spark Plug,45277.64,67.42,5.06,2
Spark Plug,82442.31,35.55,2.91,2
CVT/AT Oil,50654.92,36.5,16.69,2
Gearbox Filter,64174.14,47.98,101.43,2
Gearbox,1944.01,6.08,84.96,2
Spark Plug,12643.79,56.29,4.83,2
Ignition Coil,18865.45,53.85,4.62,0
Spark Plug,57116.13,7.99,4.76,0
CVT/AT Oil,22188.8,2.83,92.11,0
Ignition Coil,99372.49,44.91,8.64,2
Spark Plug,78882.42,34.0,6.6,2
Spark Plug,95548.87,54.29,0.27,2
Spark Plug,16392.11,46.92,5.54,2
Gearbox,14618.88,0.47,61.4,2
Front Brake Pad,13447.03,32.05,2.59,2
CVT/AT Oil,40012.0,44.46,93.84,2
Gearbox Filter,24083.34,60.15,1.54,2
Gearbox Filter,81996.18,60.36,74.49,2
Front Brake Pad,27920.88,17.74,3.64,0
Spark Plug,108727.91,19.2,5.44,2
Spark Plug,115619.91,37.37,5.08,2
Gearbox,6823.78,2.41,19.78,0
Gearbox,14640.21,1.13,1.53,2
CVT/AT Oil,22954.82,19.86,21.81,2
Rear Brake Pad,1579.71,15.84,6.96,0
Ignition Coil,40187.41,69.32,6.85,0
CVT/AT Oil,39780.44,29.61,105.51,1
CVT/AT Oil,1415.7,48.52,93.98,2
Spark Plug,34937.31,14.91,1.14,0
CVT/AT Oil,42608.13,50.62,72.4,2
Gearbox Filter,67270.0,34.11,6.07,2
Ignition Coil,178237.6,25.83,6.37,2
Gearbox,8167.23,8.66,6.8,2
Spark Plug,24597.75,52.25,4.65,2
Spark Plug,74689.64,56.26,4.34,2
CVT/AT Oil,58899.2,28.47,108.77,2
Rear Brake Pad,60671.73,14.03,3.11,2
Gearbox,5060.1,6.52,48.49,2
Rear Brake Pad,63694.92,3.36,1.33,2
Gearbox Filter,44758.12,16.58,4.68,0
Spark Plug,114952.09,38.14,1.81,2
Gearbox Filter,85416.41,69.29,65.2,2
Front Brake Pad,54470.17,16.55,4.92,2
Gearbox Filter,41273.81,40.38,90.72,2
Gearbox,13465.12,6.07,12.33,2
CVT/AT Oil,47588.57,46.1,29.04,2
Front Brake Pad,7350.3,22.92,4.48,0
CVT/AT Oil,58868.62,30.76,31.15,2
Spark Plug,110326.49,12.68,1.6,2
Ignition Coil,176612.01,20.53,9.51,2
CVT/AT Oil,21302.46,37.71,47.42,2
Ignition Coil,174069.48,42.42,10.25,2
Front Brake Pad,48487.35,8.9,5.77,2
Rear Brake Pad,70321.4,51.85,6.87,2
Gearbox Filter,44900.61,0.87,0.95,0
Gearbox Filter,33928.7,39.74,84.5,2
Gearbox Filter,19986.83,23.16,89.04,2
CVT/AT Oil,15229.26,13.27,48.33,0
Gearbox,9936.51,1.07,26.0,1
Rear Brake Pad,82757.79,53.64,0.4,2
Gearbox Filter,43339.44,45.75,9.53,0
Front Brake Pad,61993.78,34.23,5.19,2
Front Brake Pad,41987.67,35.73,3.48,2
Gearbox Filter,32272.06,47.28,25.24,1
Ignition Coil,157924.01,105.23,0.33,2
CVT/AT Oil,13251.17,2.1,4.32,2
Spark Plug,17781.35,48.93,1.69,2
Gearbox,8724.33,3.93,52.21,0
CVT/AT Oil,19580.31,45.34,17.26,2
Rear Brake Pad,80468.49,51.11,8.03,2
Gearbox Filter,68679.75,59.27,93.33,2
Ignition Coil,36842.42,63.84,2.23,0
CVT/AT Oil,35628.15,1.77,76.33,0
CVT/AT Oil,4140.46,50.8,60.83,2
CVT/AT Oil,5703.18,44.64,5.72,2
Gearbox,10404.27,6.94,58.92,2
CVT/AT Oil,30939.56,25.02,5.45,2
Gearbox,6378.42,0.34,11.51,0
Front Brake Pad,35911.46,21.26,0.55,2
Front Brake Pad,3687.82,35.03,2.04,2
Front Brake Pad,681.12,15.75,7.94,0
Front Brake Pad,49230.77,34.81,2.02,2
Rear Brake Pad,57657.2,22.46,6.83,1
Ignition Coil,54527.56,35.13,8.55,2
CVT/AT Oil,16286.31,6.77,40.44,0
Rear Brake Pad,72602.42,53.18,6.79,2
Gearbox Filter,48822.39,10.77,39.97,0
Rear Brake Pad,49004.73,38.3,1.51,2
Rear Brake Pad,46583.67,14.52,5.66,0
Front Brake Pad,17909.51,21.66,2.67,2
Spark Plug,15592.96,40.33,5.86,2
Rear Brake Pad,45800.15,19.94,8.4,0
Ignition Coil,125497.69,77.15,5.54,2
Spark Plug,14643.66,9.01,6.38,2
Spark Plug,32888.59,58.11,1.46,2
Gearbox Filter,19205.4,47.89,16.52,1
Spark Plug,84140.38,52.35,4.22,2
Rear Brake Pad,49437.88,16.85,4.34,0
Gearbox,11793.08,6.61,34.59,2
CVT/AT Oil,46930.28,6.72,95.71,2
Spark Plug,116430.85,31.51,1.76,2
CVT/AT Oil,30065.27,38.13,64.11,2
CVT/AT Oil,25775.76,16.68,57.87,0
Gearbox Filter,86536.2,51.44,100.01,2
CVT/AT Oil,52760.46,43.67,81.26,2
Gearbox,4350.68,7.84,60.54,2
Gearbox Filter,6380.24,22.53,98.21,2
Ignition Coil,149909.47,97.86,0.15,2
Gearbox,2803.72,0.18,35.16,0
Gearbox Filter,31766.27,44.73,35.08,0
Spark Plug,105358.14,43.6,1.85,2
Spark Plug,34291.0,31.16,5.14,2
Gearbox Filter,6490.0,14.79,40.05,0
Spark Plug,77008.13,48.35,4.74,2
Front Brake Pad,52717.22,28.27,5.41,2
Gearbox,4167.79,2.49,38.88,0
Spark Plug,1377.68,32.41,7.33,2
Ignition Coil,174721.78,12.24,4.84,2
Gearbox Filter,17083.38,41.92,21.47,0
Spark Plug,47713.49,19.03,1.54,0
Spark Plug,88819.36,45.41,4.12,2
Front Brake Pad,65376.27,21.73,0.69,2
Gearbox Filter,83297.0,4.92,45.19,2
Gearbox,8985.67,5.61,58.37,1
Front Brake Pad,43310.15,25.34,3.36,2
CVT/AT Oil,40561.58,38.16,73.2,2
Spark Plug,63090.75,17.97,0.02,0
Gearbox,14201.01,0.95,13.93,2
Rear Brake Pad,19177.65,50.71,0.06,2
Front Brake Pad,42201.32,13.45,0.45,2
Spark Plug,1847.39,41.97,1.9,0
Gearbox,14094.77,1.98,65.32,2
Front Brake Pad,12726.49,24.21,8.79,2
Spark Plug,59764.85,53.48,2.45,2
Gearbox,11225.77,8.23,39.06,2
Rear Brake Pad,73552.71,27.69,3.95,2
CVT/AT Oil,35367.24,33.12,76.52,0
Ignition Coil,126156.17,22.03,7.85,2
Gearbox Filter,78972.3,53.19,1.44,2
Rear Brake Pad,32037.39,0.85,0.69,2
Ignition Coil,11254.73,49.57,8.79,2
Ignition Coil,107477.24,64.24,4.47,0
Rear Brake Pad,75464.27,43.47,7.41,2
CVT/AT Oil,16998.29,42.49,47.69,2
Front Brake Pad,50144.5,26.57,4.69,2
CVT/AT Oil,46244.55,23.08,24.75,2
CVT/AT Oil,32299.92,14.52,44.21,0
Front Brake Pad,58038.11,1.26,7.09,2
Ignition Coil,113444.5,26.83,8.47,2
Ignition Coil,89897.72,57.78,1.73,0
Rear Brake Pad,5760.57,44.54,2.63,2
CVT/AT Oil,35930.72,10.86,70.83,0
Rear Brake Pad,5055.85,26.52,8.34,0
Rear Brake Pad,25293.43,38.5,0.1,2
Spark Plug,31228.39,11.48,1.2,0
Gearbox Filter,70787.01,67.86,78.41,2
CVT/AT Oil,48847.54,37.0,13.25,2
Gearbox Filter,716.8,66.57,46.55,2
Ignition Coil,96399.69,38.54,4.25,0
Gearbox,13089.54,7.45,19.45,2
Rear Brake Pad,85753.35,17.64,3.19,2
Ignition Coil,48869.78,25.03,3.82,0
Gearbox Filter,35345.77,39.84,52.83,0
Front Brake Pad,35207.96,28.6,7.96,2
Gearbox,12881.46,6.74,39.53,2
Front Brake Pad,19976.14,16.53,3.7,0
Front Brake Pad,25974.24,17.62,3.87,0
Rear Brake Pad,179.29,38.81,6.59,2
Ignition Coil,53421.6,58.47,4.14,0
Front Brake Pad,11188.0,32.07,2.17,2
Ignition Coil,114235.07,62.87,1.42,1
Ignition Coil,109395.48,26.5,0.69,0
Front Brake Pad,18063.05,12.08,6.74,0
CVT/AT Oil,33412.71,22.45,51.47,0
CVT/AT Oil,40738.71,22.24,90.43,2
Gearbox Filter,45010.15,29.66,91.41,2
Ignition Coil,3985.47,102.07,8.36,2
Gearbox Filter,10548.35,24.28,15.0,0
Ignition Coil,92211.26,12.34,9.18,2
CVT/AT Oil,12258.98,27.42,50.31,0
Spark Plug,73360.39,61.73,5.05,2
CVT/AT Oil,33640.7,33.94,82.64,0
Gearbox,13223.45,6.58,62.75,2
Spark Plug,55806.63,62.94,1.53,2
Gearbox,5004.43,7.12,40.62,2
CVT/AT Oil,49235.93,21.85,58.12,2
CVT/AT Oil,4541.98,20.94,96.42,0
CVT/AT Oil,16852.92,11.23,5.04,2
Front Brake Pad,26284.83,19.5,8.71,0
Gearbox,8183.78,8.84,40.54,2
Gearbox Filter,72343.31,31.21,104.7,2
CVT/AT Oil,2570.25,24.1,8.4,2
Front Brake Pad,25146.0,2.47,3.33,0
CVT/AT Oil,22168.92,2.45,41.99,0
CVT/AT Oil,22753.59,44.89,101.08,2
Spark Plug,637.62,57.92,5.8,2
Rear Brake Pad,4379.19,31.37,3.83,0
Ignition Coil,140752.8,81.19,9.64,2
Ignition Coil,136530.34,1.58,2.49,2
Gearbox,11133.8,1.53,17.55,2
Gearbox,5861.33,1.43,23.24,0
Rear Brake Pad,53743.98,35.32,8.0,1
Gearbox Filter,48748.18,54.6,32.22,2
Gearbox Filter,64475.74,19.51,21.24,2
CVT/AT Oil,11122.37,32.39,103.38,0
Front Brake Pad,61279.1,18.25,1.69,2
Spark Plug,70160.17,9.62,3.33,0
Rear Brake Pad,59355.97,43.0,2.45,2
Front Brake Pad,35994.47,22.92,6.73,0
Gearbox Filter,29206.06,19.4,20.05,0
Ignition Coil,50122.36,70.71,9.89,2
Ignition Coil,119154.41,88.01,9.34,2
Rear Brake Pad,88497.51,42.48,6.96,2
Gearbox,5525.21,3.89,2.8,0
Rear Brake Pad,23760.39,22.42,8.0,0
Rear Brake Pad,50160.35,2.1,6.0,0
Front Brake Pad,28956.48,7.24,4.63,0
Rear Brake Pad,81086.48,53.79,7.43,2
Ignition Coil,134640.85,87.77,8.48,2
Front Brake Pad,6406.96,35.96,2.94,2
Rear Brake Pad,72121.32,36.41,0.05,2
CVT/AT Oil,14489.79,2.18,49.34,0
Spark Plug,115339.13,64.2,6.37,2
Front Brake Pad,38217.2,11.26,5.89,0
CVT/AT Oil,944.57,0.93,109.99,0
Spark Plug,91476.31,2.8,6.28,2
CVT/AT Oil,320.77,50.67,49.78,2
Gearbox Filter,52824.29,41.83,104.02,2
Rear Brake Pad,65970.33,36.51,1.25,2
Spark Plug,27465.06,42.97,6.96,2
Front Brake Pad,25075.3,22.27,5.7,0
Gearbox Filter,89606.8,70.64,68.2,2
Spark Plug,55340.03,67.68,3.78,2
CVT/AT Oil,49969.91,19.57,103.64,2
Rear Brake Pad,83254.25,34.11,0.49,2
CVT/AT Oil,41828.15,35.03,33.03,2
CVT/AT Oil,44867.66,43.75,49.66,2
Gearbox,635.13,5.22,40.76,0
Front Brake Pad,11456.67,0.69,7.01,0
Rear Brake Pad,15429.08,24.49,4.09,0
Gearbox,14413.8,4.82,43.96,2
Front Brake Pad,59509.06,21.04,7.5,2
Ignition Coil,165835.35,62.98,7.11,2
CVT/AT Oil,3119.36,1.71,50.8,0
Front Brake Pad,61807.88,22.19,2.22,2
Front Brake Pad,44485.57,7.6,7.77,1
Rear Brake Pad,61510.84,20.27,7.2,2
Rear Brake Pad,11269.85,10.83,1.95,2
Spark Plug,74715.66,70.08,3.49,2
Rear Brake Pad,69832.04,6.91,3.13,2
Gearbox Filter,87780.88,58.82,89.52,2
Front Brake Pad,20658.47,19.87,7.1,0
Rear Brake Pad,18971.38,12.39,4.22,0
Front Brake Pad,63610.88,2.69,3.95,2
Gearbox,14596.15,6.83,87.1,2
Gearbox,4175.53,7.18,29.36,2
Gearbox Filter,20925.54,9.34,26.93,0
Spark Plug,42443.6,21.78,7.32,2
Ignition Coil,145624.26,15.87,4.11,2
Rear Brake Pad,88805.62,14.65,0.89,2
Rear Brake Pad,27217.76,30.42,7.23,0
Gearbox Filter,43064.65,56.2,31.88,2
CVT/AT Oil,188.45,9.41,105.05,0
Spark Plug,55150.09,22.07,6.17,2
Ignition Coil,50745.43,39.29,2.29,0
Spark Plug,68914.51,48.04,5.83,2
Rear Brake Pad,17932.14,2.43,1.14,2
Gearbox Filter,89050.6,64.05,39.0,2
CVT/AT Oil,31365.61,25.43,78.73,0
Gearbox,7247.71,7.54,32.53,2
CVT/AT Oil,47983.07,6.65,83.82,2
CVT/AT Oil,45746.82,6.8,23.57,2
Spark Plug,98142.76,36.73,5.52,2
Gearbox,7344.37,5.8,20.68,1
Rear Brake Pad,83909.05,40.05,2.51,2
Rear Brake Pad,51378.97,10.0,2.51,2
Gearbox,7361.48,3.66,81.29,2
Gearbox Filter,51895.26,40.23,38.97,0
Front Brake Pad,25282.01,28.72,3.31,2
CVT/AT Oil,20248.82,39.39,68.79,2
Gearbox Filter,15761.08,48.44,23.15,2
Front Brake Pad,35105.0,18.79,5.3,0
Gearbox,9.8,7.84,71.33,2
Gearbox,5647.95,2.09,23.88,0
Spark Plug,42146.33,6.75,3.65,0
Ignition Coil,170730.53,102.02,7.32,2
CVT/AT Oil,14288.8,49.06,56.17,2
Spark Plug,92701.95,50.58,4.61,2
Front Brake Pad,29024.0,21.49,9.0,0
Ignition Coil,71615.83,89.38,2.05,2
Gearbox Filter,68660.4,3.27,67.89,2
CVT/AT Oil,36907.75,49.17,61.18,2
Rear Brake Pad,11106.07,33.82,2.51,2
Spark Plug,52581.43,60.42,1.21,2
CVT/AT Oil,45224.04,11.64,40.32,2
Gearbox,10868.97,1.0,54.75,2
CVT/AT Oil,10409.76,20.51,96.17,0
Front Brake Pad,3747.94,20.46,5.86,0
Spark Plug,28432.0,48.77,4.24,2
Rear Brake Pad,83461.97,19.76,2.86,2
Gearbox Filter,74417.27,37.78,81.4,2
CVT/AT Oil,25114.94,15.8,39.86,2
Ignition Coil,120216.22,100.79,3.19,2
Spark Plug,78406.02,13.85,2.22,1
Front Brake Pad,63933.4,31.85,6.65,2
Ignition Coil,164327.58,36.7,5.47,2
Ignition Coil,128889.0,76.27,7.47,2
Front Brake Pad,53627.46,10.01,1.28,2
CVT/AT Oil,50972.05,4.81,119.0,2
Spark Plug,112258.14,13.37,2.79,2
Gearbox,2977.37,1.48,21.6,0
Gearbox,4094.25,3.07,40.39,0
Rear Brake Pad,45136.62,13.32,4.24,0
Ignition Coil,162857.94,69.93,3.28,2
CVT/AT Oil,54261.59,44.14,90.85,2
Spark Plug,825.36,15.3,4.98,0
Ignition Coil,129081.7,92.46,4.28,2
Gearbox,13637.63,2.82,62.2,2
Spark Plug,52806.97,52.54,7.05,2
Gearbox Filter,38696.19,59.83,12.59,2
Front Brake Pad,32792.68,4.21,6.14,0
Ignition Coil,53989.57,64.38,5.21,0
Gearbox Filter,52524.45,28.09,37.29,0
CVT/AT Oil,20637.46,39.58,79.04,2
Ignition Coil,19053.58,94.29,6.28,2
CVT/AT Oil,24651.43,30.27,113.12,0
Rear Brake Pad,22854.4,42.12,0.89,2
Gearbox Filter,41758.35,8.55,102.96,2
Gearbox Filter,20364.77,64.49,82.27,2
Gearbox,9254.16,7.77,20.08,2
Rear Brake Pad,15527.15,30.67,2.67,2
Gearbox Filter,22161.97,30.5,83.32,2
Rear Brake Pad,87275.13,23.29,3.13,2
Rear Brake Pad,10413.12,1.47,4.71,0
Front Brake Pad,15290.21,22.1,2.28,2
Rear Brake Pad,61988.63,48.48,6.71,2
Front Brake Pad,32221.15,12.63,3.26,0
Rear Brake Pad,4660.73,30.09,1.4,2
Front Brake Pad,31501.79,17.36,7.57,0
Front Brake Pad,12330.39,5.03,5.19,0
Gearbox Filter,34615.0,33.06,31.85,0
CVT/AT Oil,1005.38,36.68,9.19,2
Rear Brake Pad,47841.49,1.76,4.28,0
Gearbox,3746.58,5.89,55.73,1
Gearbox,8432.83,6.43,6.16,2
Gearbox,1745.38,5.52,84.46,2
Gearbox,10400.03,5.83,20.83,2
CVT/AT Oil,24192.47,45.02,97.76,2
Gearbox Filter,39435.9,64.75,101.04,2
CVT/AT Oil,21293.86,22.31,81.1,0
Front Brake Pad,18771.72,7.81,2.59,2
CVT/AT Oil,1749.31,48.99,18.75,2
Ignition Coil,30276.66,94.97,6.68,2
Front Brake Pad,21444.39,34.87,2.36,2
Rear Brake Pad,19840.14,47.85,8.41,2
CVT/AT Oil,22777.01,17.1,34.28,2
Front Brake Pad,50786.86,19.13,6.1,2
Gearbox Filter,35840.5,31.96,93.83,2
Rear Brake Pad,74963.67,29.18,7.6,2
Front Brake Pad,7263.96,27.65,4.5,2
Ignition Coil,151958.22,52.27,6.17,2
Gearbox Filter,81142.47,15.49,92.86,2
Rear Brake Pad,24479.87,0.34,8.81,0
Gearbox,4865.19,2.11,18.98,0
Front Brake Pad,55378.81,15.86,1.19,2
Front Brake Pad,52872.61,9.57,8.91,2
CVT/AT Oil,59857.37,10.32,55.16,2
Ignition Coil,21669.76,101.36,2.17,2
CVT/AT Oil,53227.16,22.67,59.63,2
Rear Brake Pad,37547.41,8.65,1.54,2
Rear Brake Pad,68155.47,48.49,0.76,2
Ignition Coil,61298.07,86.94,0.63,2
CVT/AT Oil,36146.97,8.8,28.06,2
CVT/AT Oil,49809.06,51.21,36.55,2
Spark Plug,27777.03,62.53,6.95,2
Ignition Coil,166844.94,23.08,5.04,2
CVT/AT Oil,23573.71,1.55,69.99,0
Front Brake Pad,52759.04,11.29,2.23,2
Ignition Coil,105903.4,42.95,11.69,2
Ignition Coil,11139.43,57.82,6.79,0
Rear Brake Pad,11876.88,27.71,1.75,2
Gearbox,6391.82,7.49,72.51,2
Gearbox Filter,28579.91,18.68,9.2,0
Ignition Coil,17164.97,48.61,4.05,0
Gearbox,4309.9,2.52,29.88,0
Rear Brake Pad,4616.45,26.6,3.98,0
CVT/AT Oil,29063.47,37.47,66.33,2
Gearbox Filter,51479.63,57.99,79.82,2
Gearbox,8211.22,6.61,31.19,2
Ignition Coil,73522.0,73.41,0.68,2
Gearbox,8772.58,3.04,72.26,2
CVT/AT Oil,38490.27,14.03,106.33,1
Gearbox,4678.68,1.1,10.0,0
Front Brake Pad,16235.88,24.21,7.43,2
Spark Plug,65469.85,7.6,0.34,0
Rear Brake Pad,66415.59,19.47,6.04,2
Gearbox Filter,89078.08,2.16,46.68,2
Rear Brake Pad,88957.89,52.77,7.14,2
CVT/AT Oil,34668.42,46.77,34.73,2
Gearbox Filter,69120.49,31.27,46.88,2
Ignition Coil,59451.24,60.94,10.21,2
Front Brake Pad,1588.44,15.47,2.51,2
CVT/AT Oil,33371.44,42.09,1.94,2
Ignition Coil,45645.14,50.86,5.91,0
Spark Plug,78251.17,56.23,5.94,2
Ignition Coil,155801.23,11.11,1.51,2
Ignition Coil,121291.0,91.46,3.89,2
Ignition Coil,160123.79,101.94,9.19,2
Ignition Coil,103564.65,46.34,3.31,0
Spark Plug,2206.34,33.41,7.07,2
Spark Plug,75039.62,53.79,1.64,2
Gearbox Filter,58538.27,15.29,12.81,1
Ignition Coil,8099.43,79.29,4.1,2
Ignition Coil,106945.54,44.43,1.52,0
Ignition Coil,2462.83,8.81,3.1,0
Gearbox,7240.7,7.0,60.56,2
Gearbox,2619.71,2.66,59.74,0
Front Brake Pad,26857.18,29.02,5.33,2
Gearbox,8458.79,4.5,6.25,0
Front Brake Pad,56687.87,4.59,7.2,2
Ignition Coil,73186.3,15.47,8.58,2
Gearbox,10902.58,7.06,89.5,2
Spark Plug,36946.37,60.3,4.61,2
Front Brake Pad,19968.13,0.04,2.45,2
CVT/AT Oil,55457.22,17.59,15.33,2
Rear Brake Pad,1461.91,39.35,2.91,2
Gearbox Filter,75353.67,9.17,13.26,2
Rear Brake Pad,8497.7,44.9,8.27,2
Ignition Coil,57287.17,96.58,7.74,2
CVT/AT Oil,17926.97,48.12,1.64,2
CVT/AT Oil,21395.77,13.74,1.55,2
Rear Brake Pad,73374.87,48.3,7.41,2
Gearbox Filter,46301.52,6.12,57.63,0
Front Brake Pad,44973.08,35.6,2.03,2
Rear Brake Pad,43204.26,7.45,0.73,2
Rear Brake Pad,88860.25,23.98,4.79,2
Ignition Coil,11846.12,96.26,5.57,2
Rear Brake Pad,29424.69,16.51,3.62,0
Gearbox Filter,77360.08,42.65,72.94,2
Spark Plug,75887.55,9.24,4.34,1
Gearbox,8589.64,2.31,72.37,2
CVT/AT Oil,29997.54,39.43,74.3,2
Gearbox Filter,60633.16,55.26,32.29,2
Rear Brake Pad,55539.53,45.9,1.77,2
Gearbox,8265.76,4.71,25.4,0
Rear Brake Pad,52700.74,29.23,0.77,2
CVT/AT Oil,49945.03,52.68,56.9,2
Rear Brake Pad,21036.67,34.44,7.38,0
Front Brake Pad,35316.88,9.78,3.59,0
Gearbox,4616.56,5.52,80.81,2
CVT/AT Oil,8141.3,48.26,8.96,2
Rear Brake Pad,41956.34,10.26,6.32,0
Front Brake Pad,22767.94,33.9,4.77,2
Gearbox Filter,28419.58,4.1,80.49,2
